position,timing_window,n,mean_points_zscore,top_6_rate
QB,1-3,3055,0.03809165531571013,0.5181669394435352
QB,10-11,1156,0.11696934291666129,0.5458477508650519
QB,12+,577,0.17217964332409547,0.5892547660311959
QB,4-5,3079,0.05711752384157048,0.5280935368626177
QB,6-7,2708,0.09769365676671679,0.5336041358936484
QB,8-9,1956,0.023845283630911547,0.516359918200409
TE,1-3,2139,0.07395716541981232,0.5268817204301075
TE,10-11,1143,0.061536606027158644,0.5231846019247594
TE,12+,706,-0.0036068163781044133,0.4830028328611898
TE,4-5,2465,-0.005948314293037551,0.4997971602434077
TE,6-7,2526,0.014385721641944038,0.5184085510688836
TE,8-9,2093,0.03177929417004103,0.5157668418537984
