position,season,timing_window,n,mean_points_zscore,top_6_rate
QB,2018,1-3,2,-1.0828624739043882,0.5
QB,2018,10-11,8,-0.36711831061866756,0.375
QB,2018,12+,7,0.3364518760010641,0.8571428571428571
QB,2018,4-5,15,0.2582430595252182,0.6666666666666666
QB,2018,6-7,16,-0.0686591915699818,0.3125
QB,2018,8-9,12,-0.0022992105839930352,0.4166666666666667
QB,2019,1-3,62,-0.4273614878483845,0.27419354838709675
QB,2019,10-11,72,0.29292654012070074,0.6388888888888888
QB,2019,12+,57,0.3167770892525681,0.5964912280701754
QB,2019,4-5,66,-0.18531131160464226,0.42424242424242425
QB,2019,6-7,113,-0.09345944283134638,0.49557522123893805
QB,2019,8-9,133,0.07402829343221574,0.5263157894736842
QB,2020,1-3,162,-0.2095077592824113,0.4074074074074074
QB,2020,10-11,126,-0.10618217091203007,0.4444444444444444
QB,2020,12+,87,-0.04906505241143918,0.5172413793103449
QB,2020,4-5,113,-0.01072662759615913,0.504424778761062
QB,2020,6-7,229,0.26831330773660006,0.6026200873362445
QB,2020,8-9,180,-0.03919514214037558,0.48333333333333334
QB,2021,1-3,181,-0.06931989282131505,0.48066298342541436
QB,2021,10-11,112,-0.057218647729514925,0.48214285714285715
QB,2021,12+,38,-0.45203982489074634,0.34210526315789475
QB,2021,4-5,349,-0.06627734634475192,0.4584527220630373
QB,2021,6-7,386,0.13369250322274281,0.5569948186528497
QB,2021,8-9,238,0.02804401502343755,0.5126050420168067
QB,2022,1-3,391,0.10919494997361977,0.5319693094629157
QB,2022,10-11,234,-0.15398018191607357,0.41452991452991456
QB,2022,12+,89,-0.09131914535934436,0.449438202247191
QB,2022,4-5,714,0.12093184135160417,0.5672268907563025
QB,2022,6-7,700,0.04789045356763099,0.52
QB,2022,8-9,533,-0.21848301116639235,0.4071294559099437
QB,2023,1-3,1058,0.03574997328421056,0.5146502835538752
QB,2023,10-11,295,0.1421056419239394,0.5525423728813559
QB,2023,12+,106,0.08583100881542725,0.5283018867924528
QB,2023,4-5,914,-0.09634169310289006,0.45678336980306344
QB,2023,6-7,303,-0.03496858654483445,0.49174917491749176
QB,2023,8-9,429,0.019561678046637897,0.5151515151515151
QB,2024,1-3,877,-0.004426125776963176,0.5108323831242874
QB,2024,10-11,382,0.0874339986537216,0.5287958115183246
QB,2024,12+,145,0.16339219787341946,0.5586206896551724
QB,2024,4-5,1224,-0.015190328685529088,0.4959150326797386
QB,2024,6-7,1129,-0.038188823201615686,0.4738706820194863
QB,2024,8-9,645,0.012511760114753991,0.5069767441860465
QB,2025,1-3,1099,-0.1877469890642562,0.4294813466787989
QB,2025,10-11,528,0.16913666776316455,0.5833333333333334
QB,2025,12+,301,0.24396535343379,0.5913621262458472
QB,2025,4-5,862,-0.026871836177337852,0.48491879350348027
QB,2025,6-7,618,0.06203539053444632,0.5097087378640777
QB,2025,8-9,703,0.034004020712273805,0.5163584637268848
