position,timing_window,n,leagues,mean_regular_season_points,mean_points_per_week,mean_points_per_week_above_league,mean_points_zscore,mean_finish,top_6_rate,top_scorer_rate
QB,1-3,3832,1359,1655.0386325678496,118.72432725525171,-0.8091666616880278,-0.053456746062748285,6.659968684759916,0.481080375782881,0.08220250521920668
QB,4-5,4257,1373,1676.2155391120507,120.1694442078163,-0.04731142135211881,-0.01789223897877883,6.572233967582805,0.49389241249706367,0.08409678177120038
QB,6-7,3494,1283,1681.2693789353177,121.04352893028552,0.5035560203764624,0.034212969473531446,6.37378362907842,0.5085861476817402,0.08185460789925587
QB,8-9,2873,1266,1661.0862130177516,119.7054598612317,-0.33697630766765796,-0.02319772041251213,6.583362339018447,0.491472328576401,0.0748346675948486
QB,10-11,1757,1039,1682.9083039271486,121.27033352722027,0.8355244980309011,0.07225957438075874,6.266363118952761,0.5287421741605008,0.093340922026181
QB,12+,830,575,1670.8612289156627,120.99286627830001,1.1884797817644206,0.1169414546824464,6.133734939759036,0.5457831325301205,0.09879518072289156
TE,1-3,3350,1409,1675.3871283582089,120.46042522005358,0.2504220554735482,0.022017031351255628,6.455223880597015,0.5,0.08358208955223881
TE,4-5,3842,1360,1668.2392555960437,119.73648268463273,-0.59757529044066,-0.054913581512446456,6.686881832378969,0.47969807391983343,0.07808433107756377
TE,6-7,3878,1373,1656.492748839608,119.10196959650287,-0.307707239218005,-0.02630041312907875,6.575296544610624,0.500515729757607,0.08071170706549768
TE,8-9,3173,1320,1669.4125370312008,119.98165661158886,0.4074557156171558,0.029056192133893016,6.387330601953987,0.5132366845256855,0.09013551843681059
TE,10-11,1692,1047,1689.156560283688,121.67057624113474,0.7897259972592423,0.07978358545852765,6.218085106382978,0.5310283687943262,0.08747044917257683
TE,12+,1096,813,1688.248640510949,121.92754087457556,0.13705007748233178,0.019795693897283168,6.440693430656935,0.48722627737226276,0.08485401459854014
