qb_timing_window,te_timing_window,n,leagues,mean_points_zscore,top_6_rate,supported
1-3,1-3,552,492,-0.06529825466563352,0.46557971014492755,True
1-3,10-11,313,288,0.03819640381522028,0.5191693290734825,True
1-3,12+,170,162,-0.0019361613839973194,0.4764705882352941,True
1-3,4-5,1086,750,-0.09658953647405293,0.4686924493554328,True
1-3,6-7,1023,738,-0.05827493306391033,0.48191593352883677,True
1-3,8-9,676,555,-0.014278057925784545,0.4985207100591716,True
1-3,Undrafted,12,11,-0.5220400835728363,0.3333333333333333,False
10-11,1-3,326,302,0.13515418199402005,0.5429447852760736,True
10-11,10-11,138,127,0.03157195174870381,0.5217391304347826,True
10-11,12+,194,180,-0.03917533102477808,0.4381443298969072,True
10-11,4-5,321,287,0.062309280214695235,0.514018691588785,True
10-11,6-7,367,325,0.037014760578968346,0.5231607629427792,True
10-11,8-9,406,355,0.12134813842227456,0.5788177339901478,True
10-11,Undrafted,5,5,0.6579706907172707,0.6,False
12+,1-3,160,158,0.3655667181055218,0.63125,True
12+,10-11,130,120,-0.003469601133656233,0.5307692307692308,True
12+,12+,85,77,0.17372289248638373,0.5764705882352941,False
12+,4-5,135,132,0.03257167645623328,0.4666666666666667,True
12+,6-7,145,136,0.08716199052383182,0.5448275862068965,True
12+,8-9,174,153,0.05703091334834779,0.5287356321839081,True
12+,Undrafted,1,1,-2.7037090945799016,0.0,False
4-5,1-3,961,767,-0.04140222124919988,0.4703433922996878,True
4-5,10-11,403,356,0.16533131608777826,0.5682382133995038,True
4-5,12+,247,227,0.01532554978339697,0.4898785425101215,True
4-5,4-5,638,542,-0.04594568539346339,0.47492163009404387,True
4-5,6-7,1151,810,-0.06386268654900404,0.4926151172893136,True
4-5,8-9,852,651,-0.004531932743784101,0.5017605633802817,True
4-5,Undrafted,5,4,-0.022630339083350336,0.6,False
6-7,1-3,752,616,0.04803795648974745,0.5066489361702128,True
6-7,10-11,354,312,0.10998257060756879,0.536723163841808,True
6-7,12+,207,193,0.061124793088833146,0.4927536231884058,True
6-7,4-5,995,696,-0.049806429970413575,0.49447236180904525,True
6-7,6-7,467,410,0.019401665428665362,0.5117773019271948,True
6-7,8-9,715,577,0.10316773238598727,0.5216783216783217,True
6-7,Undrafted,4,4,-0.3597996737112856,0.0,False
8-9,1-3,590,504,0.0174161055696845,0.5101694915254237,True
8-9,10-11,353,312,0.04086512326818762,0.4985835694050991,True
8-9,12+,191,182,-0.018215045447640653,0.49214659685863876,True
8-9,4-5,667,548,-0.0773754928469495,0.4662668665667166,True
8-9,6-7,721,585,-0.009912021430039717,0.5090152565880721,True
8-9,8-9,348,301,-0.08232954898031866,0.46551724137931033,True
8-9,Undrafted,3,3,-0.15405454643574237,0.3333333333333333,False
Undrafted,1-3,9,9,0.07091582547546352,0.6666666666666666,False
Undrafted,10-11,1,1,-0.8552678844051893,0.0,False
Undrafted,12+,2,2,0.9498135093890407,1.0,False
Undrafted,6-7,4,4,0.7478226412878565,1.0,False
Undrafted,8-9,2,2,0.70175138174548,1.0,False
Undrafted,Undrafted,3,3,-0.6594756053256484,0.3333333333333333,False
