qb_timing_window,te_timing_window,n,leagues,mean_points_zscore,top_6_rate,supported
12+,1-3,160,158,0.3655667181055218,0.63125,True
4-5,10-11,403,356,0.16533131608777826,0.5682382133995038,True
10-11,1-3,326,302,0.13515418199402005,0.5429447852760736,True
10-11,8-9,406,355,0.12134813842227456,0.5788177339901478,True
6-7,10-11,354,312,0.10998257060756879,0.536723163841808,True
6-7,8-9,715,577,0.10316773238598727,0.5216783216783217,True
12+,6-7,145,136,0.08716199052383182,0.5448275862068965,True
10-11,4-5,321,287,0.062309280214695235,0.514018691588785,True
6-7,12+,207,193,0.061124793088833146,0.4927536231884058,True
12+,8-9,174,153,0.05703091334834779,0.5287356321839081,True
