league_id,season,draft_id,team_count,draft_rounds,qb_start_slots,superflex_slots,te_start_slots,scoring_type,keeper_pick_count,complete_pick_board,reception_points,passing_td_points,te_premium,primary_sample,exclusion_reason
994378833954476032,2023,1000092587090358272,12,12,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1000114355565862912,2023,1000114356878770176,12,15,1,1,1,2qb,0,True,1.0,4.0,0.0,False,not_1qb;non_redraft_or_idp
1000137998740054016,2023,1000137999667015680,12,28,1,0,1,idp,0,True,0.5,6.0,0.0,False,non_redraft_or_idp
1000213949192744960,2023,1000213950128111616,12,17,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1000222942594207744,2023,1000222943491735552,12,24,1,1,1,dynasty_2qb,0,True,1.0,4.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1000233772102574080,2023,1000233773331464192,12,29,1,1,1,dynasty_2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1000262589093392384,2023,1000262590188060672,12,14,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1000462675983380480,2023,1000462675983380481,12,16,1,1,1,2qb,0,True,0.5,6.0,0.0,False,not_1qb;non_redraft_or_idp
1000469055511302144,2023,1000469057793003520,12,16,1,0,1,ppr,0,True,1.0,4.0,0.5,False,te_premium
1000555183014748160,2023,1000555187100082176,12,17,1,1,1,2qb,0,True,1.0,4.0,0.0,False,not_1qb;non_redraft_or_idp
1000561915476709376,2023,1000561915476709377,12,20,1,1,1,2qb,19,True,1.0,6.0,0.0,False,not_1qb;keeper_picks;non_redraft_or_idp
1000570754305486848,2023,1000570755916079104,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1000615951806685184,2023,1000615952746135552,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1000622513153511424,2023,1000622513837146112,12,14,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
983866142047477760,2023,1000782945849724928,12,35,1,1,0,dynasty_2qb,0,False,1.0,4.0,0.75,False,incomplete_board;not_1qb;no_required_te;non_redraft_or_idp;te_premium
1000913148838301696,2023,1000913150146912256,12,26,1,0,1,dynasty_half_ppr,0,True,0.5,5.0,0.0,False,non_redraft_or_idp
1000951168857710592,2023,1000951169495187456,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1001018861715578880,2023,1001018862663499776,12,21,1,1,1,dynasty_2qb,0,True,1.0,6.0,1.0,False,not_1qb;non_redraft_or_idp;te_premium
1001024647476948992,2023,1001024648865263616,12,18,1,1,1,2qb,0,True,1.0,12.0,2.0,False,not_1qb;non_redraft_or_idp;te_premium
1001156326715736064,2023,1001156330054316032,12,15,1,0,1,ppr,0,True,1.0,5.0,0.0,True,eligible
1001163819286171648,2023,1001163820536037376,12,18,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
992181436951875584,2023,1001165423724806144,12,25,1,1,1,dynasty_2qb,0,False,1.0,6.0,0.0,False,incomplete_board;not_1qb;non_redraft_or_idp
1001193136267345920,2023,1001193139438247936,12,18,1,1,1,2qb,0,True,1.0,6.0,0.75,False,not_1qb;non_redraft_or_idp;te_premium
1001208620182298624,2023,1001208623978098688,12,20,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1001497676921307136,2023,1001497678255099904,12,15,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1001578500916113408,2023,1001578501864022016,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1001588353885696000,2023,1001588354648981504,12,14,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
