round,player_position,n,mean_availability,unavailable_rate
1,RB,8535,0.8078355446545253,0.2858816637375513
1,WR,7159,0.8222240812686405,0.2737812543651348
2,RB,7194,0.8080595500320271,0.23033083124826248
2,WR,6006,0.7969972640302311,0.33033633033633036
3,RB,5063,0.7902440241962264,0.24827177562709857
3,WR,6579,0.753002393563269,0.40766073871409025
4,RB,4341,0.7558018653388384,0.3400138217000691
4,WR,6892,0.792196957134566,0.2836622170632618
5,RB,4531,0.762998569884467,0.35268152725667623
5,WR,7061,0.8106014152962178,0.22433083132700748
6,RB,4958,0.793444420310092,0.35215812827753123
6,WR,6704,0.7871963706540079,0.26849642004773266
7,RB,4939,0.7729238096721393,0.3972464061550921
7,WR,6555,0.8023352696121575,0.26926010678871093
8,RB,5307,0.7535991582062809,0.3900508762012437
8,WR,6162,0.8008020325449732,0.2791301525478741
