checkpoint,rb_count_label,n,leagues,mean_points_zscore,top_6_rate
2,0,3964,1308,-0.05238297961249978,0.4808274470232089
2,1,9202,1371,-0.010713196097171763,0.4969571832210389
2,2,3286,1297,0.09319201511567977,0.5316494217894097
4,0,1114,773,-0.11829532012773517,0.4622980251346499
4,1,6128,1356,-0.03506906737949139,0.48017297650130547
4,2,7669,1369,0.033303953865527834,0.5162993871430435
4,3,1458,901,0.06960793275099238,0.5246913580246914
4,4+,83,82,-0.12303803158867015,0.5301204819277109
6,0,254,224,-0.19623386150000838,0.4330708661417323
6,1,2229,1064,-0.06717680480119784,0.4719605204127411
6,2,8666,1370,-0.004273079789407528,0.49953842603277177
6,3,4673,1340,0.05261581224290163,0.5167986304301305
6,4+,630,496,-0.014702670528891335,0.5079365079365079
8,0,21,21,-0.5528995714089382,0.3333333333333333
8,1,387,338,-0.13508441887040049,0.4599483204134367
8,2,4760,1333,-0.05247530910971918,0.48077731092436976
8,3,8422,1371,0.024003722690274353,0.5092614580859653
8,4+,2862,1220,0.03896285114158121,0.5113556953179594
