season,strategy_r6,n,mean_points_zscore,top_6_rate
2018,Balanced (2),22,0.09292303781991858,0.5454545454545454
2018,RB-heavy (3+),23,-0.06624172563922641,0.43478260869565216
2018,WR-heavy (1),3,-0.17358238077867436,0.6666666666666666
2019,Balanced (2),181,-0.12807707067819632,0.4419889502762431
2019,RB-heavy (3+),261,0.11035163983680242,0.5478927203065134
2019,WR-heavy (1),11,-0.4608147548465002,0.2727272727272727
2019,Zero RB (0),3,-0.18362196711342724,0.6666666666666666
2020,Balanced (2),321,-0.03343852052725256,0.4766355140186916
2020,RB-heavy (3+),430,0.03833596845575321,0.5209302325581395
2020,WR-heavy (1),38,-0.17353137928919465,0.4473684210526316
2020,Zero RB (0),3,0.28116368875461417,0.6666666666666666
2021,Balanced (2),598,-0.018035599763991144,0.48578595317725753
2021,RB-heavy (3+),589,-0.002261800060825027,0.5101867572156197
2021,WR-heavy (1),56,0.1848508834653666,0.5357142857142857
2021,Zero RB (0),5,0.35316788412638705,0.6
2022,Balanced (2),1336,0.02569929890974384,0.5119760479041916
2022,RB-heavy (3+),947,-0.09652575662296001,0.4604012671594509
2022,WR-heavy (1),283,0.1611157018745558,0.558303886925795
2022,Zero RB (0),26,0.4415340210779195,0.6923076923076923
2023,Balanced (2),1594,-0.0341164067755405,0.49027603513174406
2023,RB-heavy (3+),963,0.04361532659526474,0.5134994807892004
2023,WR-heavy (1),402,0.021836801355575065,0.5049751243781094
2023,Zero RB (0),41,0.08784387180563362,0.5121951219512195
2024,Balanced (2),2365,0.019340561966199134,0.5120507399577167
2024,RB-heavy (3+),829,0.1837307338667065,0.5657418576598311
2024,WR-heavy (1),1002,-0.15641131282231371,0.4301397205588822
2024,Zero RB (0),124,-0.33329896756131216,0.3951612903225806
2025,Balanced (2),2249,-0.008922611266982078,0.4966651845264562
2025,RB-heavy (3+),1261,0.07238388366790649,0.5218080888183981
2025,WR-heavy (1),434,-0.10496508719994403,0.4792626728110599
2025,Zero RB (0),52,-0.49335147540407315,0.28846153846153844
