level,outcome,n,leagues,estimate,ci_low,ci_high,reference,difference_vs_reference,difference_ci_low,difference_ci_high,checkpoint
0,points_zscore,1114,773,-0.11489260639600805,-0.17888273526657936,-0.04416672170454357,2,-0.14676102384864814,-0.21153493491983974,-0.07042211473837291,4
1,points_zscore,6128,1356,-0.03319010870185031,-0.05483821066718013,-0.011024307183779425,2,-0.06505852615449041,-0.10115669877467029,-0.02791975578163358,4
2,points_zscore,7669,1369,0.0318684174526401,0.013463321850617502,0.049374419043189156,2,0.0,0.0,0.0,4
3,points_zscore,1458,901,0.06666160001896607,0.016202322657340947,0.11504486921033669,2,0.034793182566325964,-0.022038585023865548,0.08829285275124912,4
0,points_zscore,254,224,-0.1610676941231536,-0.2857225572351417,-0.03094650876390135,2,-0.1621393287709925,-0.2867223967171319,-0.03257289909711283,6
1,points_zscore,2229,1064,-0.048162566489422076,-0.08806417589476406,-0.009127930343012113,2,-0.04923420113726096,-0.0971273005013394,-0.0038939853853165118,6
2,points_zscore,8666,1370,0.001071634647838879,-0.014014060458405309,0.01629001518283622,2,0.0,0.0,0.0,6
3,points_zscore,4673,1340,0.034368192232674816,0.008273386242632392,0.06109734015385609,2,0.033296557584835934,-0.006070231570303172,0.0721594212664074,6
4+,points_zscore,630,496,-0.03432348118928663,-0.11517239646953034,0.041054735473372135,2,-0.03539511583712551,-0.12332195998376572,0.04377978888989391,6
1,points_zscore,387,338,-0.08267709108372365,-0.1870123241889982,0.025934429002125323,2,-0.05790595242148787,-0.16225686585447974,0.061354298963047706,8
2,points_zscore,4760,1333,-0.02477113866223578,-0.04910012487856499,-0.0006882384853253404,2,0.0,0.0,0.0,8
3,points_zscore,8422,1371,0.016945496581492078,0.0019297812429451022,0.03193706877393855,2,0.04171663524372786,0.00608663397678854,0.07734740795572966,8
4+,points_zscore,2862,1220,0.006569732030711732,-0.02871731783632106,0.03947789371101483,2,0.03134087069294751,-0.01762416068072964,0.079696766944879,8
