level,outcome,n,leagues,estimate,ci_low,ci_high,reference,difference_vs_reference,difference_ci_low,difference_ci_high,specification
Zero RB (0),points_zscore,205,177,-0.1312156284986368,-0.26539377910795925,0.020768805776923818,Balanced (2),-0.14239116502715654,-0.2780652733448125,0.011354210905240783,PPR
WR-heavy (1),points_zscore,1765,795,-0.03459600692815505,-0.08035273769194187,0.010417069144990798,Balanced (2),-0.04577154345667481,-0.10226416948824733,0.008604475148989967,PPR
Balanced (2),points_zscore,6189,961,0.011175536528519756,-0.005931600621491617,0.028791516933815965,Balanced (2),0.0,0.0,0.0,PPR
RB-heavy (3+),points_zscore,3385,946,0.005552661889337188,-0.026740117444664514,0.03885793487704994,Balanced (2),-0.005622874639182568,-0.050846031588192654,0.03897377742848889,PPR
WR-heavy (1),points_zscore,464,269,-0.09804754757156478,-0.19016185920473938,-0.003166312828577164,Balanced (2),-0.06986042236950879,-0.17417413123014047,0.04397683337332562,Half-PPR
Balanced (2),points_zscore,2477,409,-0.02818712520205599,-0.059553038419487156,0.0039878551085821565,Balanced (2),0.0,0.0,0.0,Half-PPR
RB-heavy (3+),points_zscore,1918,409,0.067597203850311,0.02701981920332689,0.10616517344022904,Balanced (2),0.09578432905236699,0.02437309670838304,0.16527388317152927,Half-PPR
WR-heavy (1),points_zscore,717,553,-0.06627390163251595,-0.138966606385486,0.000771665807661372,Balanced (2),-0.04183688829145413,-0.12551976673277182,0.029490932569137998,Early slot
Balanced (2),points_zscore,2911,1304,-0.024437013341061825,-0.05674030360628239,0.006896726591819176,Balanced (2),0.0,0.0,0.0,Early slot
RB-heavy (3+),points_zscore,1770,1072,0.008278322254372524,-0.038814942696458646,0.05187512996965455,Balanced (2),0.03271533559543435,-0.02736251064649341,0.0891239317597582,Early slot
WR-heavy (1),points_zscore,793,624,-0.04763096322316584,-0.11981881135660953,0.019878695480980202,Balanced (2),-0.0919074615842316,-0.17116650727972474,-0.0164692317957013,Middle slot
Balanced (2),points_zscore,2825,1284,0.04427649836106576,0.012519504469256192,0.07745906176815308,Balanced (2),0.0,0.0,0.0,Middle slot
RB-heavy (3+),points_zscore,1782,1064,0.0889031785012063,0.04266043284892493,0.1320535133074771,Balanced (2),0.04462668014014054,-0.018132238236414962,0.10152662491078657,Middle slot
WR-heavy (1),points_zscore,719,594,-0.04300646721478886,-0.11931527296804889,0.03175056067630138,Balanced (2),-0.031026135005412746,-0.11421939706394985,0.04660795892004924,Late slot
Balanced (2),points_zscore,2930,1295,-0.011980332209376113,-0.04709224449125441,0.021853690485010225,Balanced (2),0.0,0.0,0.0,Late slot
RB-heavy (3+),points_zscore,1751,1056,-0.01477206800983653,-0.06174558155843812,0.032671800955645515,Balanced (2),-0.0027917358004604167,-0.06659382544757794,0.06391478965182858,Late slot
Zero RB (0),points_zscore,152,135,-0.16825678757924384,-0.3224918676625358,-0.020984777013560916,Balanced (2),-0.17117647836781855,-0.3288908947449077,-0.02226121103906996,2RB/2WR/2FLEX
WR-heavy (1),points_zscore,1271,616,-0.07556073334606267,-0.1316671606867924,-0.02268913760944914,Balanced (2),-0.07848042413463739,-0.14320994272832316,-0.015151431468331861,2RB/2WR/2FLEX
Balanced (2),points_zscore,5014,802,0.002919690788574718,-0.016897583317956825,0.021872506240603475,Balanced (2),0.0,0.0,0.0,2RB/2WR/2FLEX
RB-heavy (3+),points_zscore,3199,793,0.03343963556767119,0.0035713636761602117,0.06819528501845341,Balanced (2),0.03051994477909647,-0.014216446824313007,0.08056360180544367,2RB/2WR/2FLEX
