left,right,outcome,difference,ci_low,ci_high
Zero RB (0),WR-heavy (1),points_zscore,-0.11304202406116683,-0.23945456496566103,0.022217900640625565
Zero RB (0),WR-heavy (1),points_per_week_above_league,-1.0861355304688418,-2.814239482625168,0.778183452075541
Zero RB (0),WR-heavy (1),top_6_points,-0.03426604993325222,-0.09908398770279314,0.03061493854691297
Zero RB (0),Balanced (2),points_zscore,-0.16252276896515727,-0.28649673604840503,-0.03259300092514345
Zero RB (0),Balanced (2),points_per_week_above_league,-1.8883651998506188,-3.625601390989738,-0.10002083845093805
Zero RB (0),Balanced (2),top_6_points,-0.05736697189091855,-0.11910119307346335,0.0046611362259395845
Zero RB (0),RB-heavy (3+),points_zscore,-0.1888239477673142,-0.3195638728724939,-0.05581924386666689
Zero RB (0),RB-heavy (3+),points_per_week_above_league,-2.1402102285187046,-3.8943392533987278,-0.2816113647711207
Zero RB (0),RB-heavy (3+),top_6_points,-0.06453534624589996,-0.13009780588452388,-0.001482265833993633
WR-heavy (1),Balanced (2),points_zscore,-0.04948074490399046,-0.09824150949944055,-0.0008288340313381686
WR-heavy (1),Balanced (2),points_per_week_above_league,-0.8022296693817769,-1.4010209625532868,-0.22011142175894058
WR-heavy (1),Balanced (2),top_6_points,-0.02310092195766633,-0.04657027163062932,0.001009075008021313
WR-heavy (1),RB-heavy (3+),points_zscore,-0.07578192370614739,-0.13107669010488068,-0.0194166498349442
WR-heavy (1),RB-heavy (3+),points_per_week_above_league,-1.0540746980498625,-1.742259553728022,-0.32544158475187923
WR-heavy (1),RB-heavy (3+),top_6_points,-0.030269296312647742,-0.05667193908306845,-0.0023669080627367264
Balanced (2),RB-heavy (3+),points_zscore,-0.026301178802156926,-0.0638628822320354,0.012943092168567146
Balanced (2),RB-heavy (3+),points_per_week_above_league,-0.25184502866808567,-0.7186489009134824,0.246724922189518
Balanced (2),RB-heavy (3+),top_6_points,-0.0071683743549814105,-0.026677899936277002,0.012007495142959398
