level,outcome,n,leagues,estimate,ci_low,ci_high,reference,difference_vs_reference,difference_ci_low,difference_ci_high
Zero RB (0),points_zscore,254,224,-0.16178740472249314,-0.2825851574312912,-0.03305718111951417,Balanced (2),-0.16252276896515727,-0.28649673604840503,-0.03259300092514345
Zero RB (0),points_per_week_above_league,254,224,-1.8316985023799623,-3.524523059126117,-0.055938237041326756,Balanced (2),-1.8883651998506188,-3.625601390989738,-0.10002083845093805
Zero RB (0),top_6_points,254,224,0.44433794402802496,0.3836544650650039,0.5044295046055713,Balanced (2),-0.05736697189091855,-0.11910119307346335,0.0046611362259395845
WR-heavy (1),points_zscore,2229,1064,-0.04874538066132632,-0.09015729665221535,-0.007641189187147399,Balanced (2),-0.04948074490399046,-0.09824150949944055,-0.0008288340313381686
WR-heavy (1),points_per_week_above_league,2229,1064,-0.7455629719111204,-1.2572051307567955,-0.23682439561383606,Balanced (2),-0.8022296693817769,-1.4010209625532868,-0.22011142175894058
WR-heavy (1),top_6_points,2229,1064,0.4786039939612772,0.4595015244244899,0.49920646106376765,Balanced (2),-0.02310092195766633,-0.04657027163062932,0.001009075008021313
Balanced (2),points_zscore,8666,1370,0.0007353642426641399,-0.014551156676731725,0.016668194085115856,Balanced (2),0.0,0.0,0.0
Balanced (2),points_per_week_above_league,8666,1370,0.05666669747065647,-0.12474735522851645,0.247638099341781,Balanced (2),0.0,0.0,0.0
Balanced (2),top_6_points,8666,1370,0.5017049159189435,0.49407376051571733,0.5095245392647015,Balanced (2),0.0,0.0,0.0
RB-heavy (3+),points_zscore,5303,1355,0.027036543044821067,0.001137966803480748,0.05202920383937789,Balanced (2),0.026301178802156926,-0.01294309216856716,0.06386288223203535
RB-heavy (3+),points_per_week_above_league,5303,1355,0.3085117261387421,-0.019371437254342126,0.6207040815276598,Balanced (2),0.25184502866808567,-0.24672492218951814,0.7186489009134822
RB-heavy (3+),top_6_points,5303,1355,0.5088732902739249,0.4960527944663518,0.5219030800972513,Balanced (2),0.0071683743549814105,-0.012007495142959405,0.02667789993627699
